,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1
0,0,0,False,False,False,False,1,0.0,0.0,0.0,0.0,0.0,0.00416666666,0.08073481099999924,59.855262917000005,0.19740676700000392,2.8933000010056276e-05,[ 0.06297554 -0.11428852  0.55609989],[0. 0. 0.],[0.70545703 0.7075659  0.00942726 0.0398997 ],1.8835067749023438e-05,[-3.13555239 -0.78921099 -1.56002187 -2.32346261  1.52911136],[ 1.44966215 -0.92614592  2.57157534  7.87459185 -9.99999686],8.112999992704317e-06,-0.08734430813896321,0.4648583177705514,0.05
1,0,0,False,False,False,False,2,0.0,0.0,0.0,0.0,0.0,0.00833333332,0.1864794279999984,59.961007534000004,0.20476516799999445,2.2194999999669562e-05,[ 0.06841696 -0.11883931  0.56517023],[0. 0. 0.],[0.70107985 0.70969868 0.00944116 0.0687446 ],2.1457672119140625e-05,[-3.12318081 -0.79551005 -1.54419507 -2.29266658  1.48744473],[ 2.96918071 -1.5117735   3.79843086  7.3910491  -9.99999028],7.783000000927132e-06,-0.08499983075953631,0.46962221017942035,0.05
2,0,0,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,0.29169248099999834,60.066220587000004,0.20611679900000013,2.2505999993427395e-05,[ 0.07432126 -0.12276787  0.57315958],[0. 0. 0.],[0.69433653 0.71342051 0.00679455 0.09424326],1.2159347534179688e-05,[-3.10404638 -0.80237484 -1.53002846 -2.26894292  1.4457781 ],[ 4.59226219 -1.64755     3.39998825  5.69367707 -9.99999186],7.90500000391603e-06,-0.08142429219683603,0.47497837736101406,0.05
3,0,0,False,False,False,False,4,0.0,0.0,0.0,0.0,0.0,0.01666666664,0.39310149499999625,60.167629601,0.2137793309999978,2.488300000891286e-05,[ 0.0809466  -0.12595581  0.58127683],[0. 0. 0.],[0.68515694 0.71874732 0.00337428 0.11811415],2.1457672119140625e-05,[-3.07814313 -0.81045933 -1.51468819 -2.24974233  1.40411147],[ 6.21678031 -1.9402783   3.6816634   4.60814089 -9.99999203],9.198000000765205e-06,-0.07962319883142537,0.4792975533770065,0.05
4,0,0,False,False,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0208333333,0.504366521999998,60.278894628,0.21828445299999544,2.534400000797632e-05,[ 0.0883257  -0.12826115  0.58952755],[0. 0. 0.],[ 6.73399568e-01  7.25807250e-01 -5.74914622e-04  1.40486807e-01],9.5367431640625e-06,[-3.0452768  -0.81968492 -1.49798665 -2.23519224  1.36244486],[ 7.88791898 -2.21414015  4.00837026  3.49202186 -9.99998646],8.734000005006237e-06,-0.07817428423263274,0.4830613164916486,0.05
5,0,0,False,False,False,False,6,0.0,0.0,0.0,0.0,0.0,0.024999999959999998,0.6080968240000004,60.382624930000006,0.22689952299998595,2.3697999992577934e-05,[ 0.09659837 -0.12948039  0.59537488],[0. 0. 0.],[ 0.65864986  0.73536342 -0.00743525  0.15926655],1.1682510375976562e-05,[-3.00485557 -0.82815475 -1.48616461 -2.22784036  1.32077819],[  9.70109487  -2.03276098   2.8372905    1.76445186 -10.        ],7.584000002225366e-06,-0.07625919834494578,0.4861970702882279,0.05
6,0,0,False,False,False,False,7,0.0,0.0,0.0,0.0,0.0,0.029166666619999997,0.7407241749999969,60.515252281,0.22805315799998027,2.154099999529535e-05,[ 0.1054291  -0.13001657  0.6014834 ],[0. 0. 0.],[ 0.64312118  0.74483013 -0.01472767  0.17721802],2.6226043701171875e-05,[-2.96318891 -0.83836703 -1.47276771 -2.223725    1.27911154],[ 9.99999916 -2.45094568  3.21525365  0.98768573 -9.99999577],7.726999996293671e-06,-0.07611861936619269,0.4870070553056752,0.05
7,0,0,False,False,False,False,8,0.0,0.0,0.0,0.0,0.0,0.033333333279999995,0.8188269749999932,60.593355081,0.2308999719999747,2.76760000019749e-05,[ 0.11502396 -0.12984337  0.60656399],[0. 0. 0.],[ 0.62716097  0.75400561 -0.0232235   0.19392134],3.0279159545898438e-05,[-2.92152225 -0.84923352 -1.46184692 -2.22150728  1.2374449 ],[ 9.99999883 -2.60795795  2.62099117  0.53225408 -9.99999354],9.160999994151098e-06,-0.07649145039293387,0.48750488465227787,0.05
8,0,0,False,False,False,False,9,0.0,0.0,0.0,0.0,0.0,0.037499999939999994,0.8979289219999913,60.672457028,0.23804220399996723,2.9917000006207672e-05,[ 0.12506703 -0.1289362   0.61169887],[0. 0. 0.],[ 0.61072111  0.76281965 -0.03238909  0.20994519],1.9550323486328125e-05,[-2.87985559 -0.86167751 -1.44996531 -2.22215615  1.19577826],[ 9.99999888 -2.98655783  2.85158485 -0.15572943 -9.99999339],8.545000000026448e-06,-0.07701257732997818,0.48682056188742123,0.05
9,0,0,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,0.9798104460000019,60.75433855200001,0.24261713299996757,2.4953999997023857e-05,[ 0.13557076 -0.12721688  0.61684251],[0. 0. 0.],[ 0.59373552  0.77128345 -0.04216279  0.2254377 ],1.1205673217773438e-05,[-2.83818893 -0.87561057 -1.43734092 -2.22528862  1.15411163],[ 9.99999864 -3.34393528  3.029854   -0.75179373 -9.99999173],8.07499999666561e-06,-0.07751697095315893,0.4857537988938503,0.05
