,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1,real_step,real_joint_velocities,real_effort,real_joint_positions,current_time
0,0,0,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,0.29169248099999834,60.066220587000004,0.20611679900000013,2.2505999993427395e-05,[ 0.07432126 -0.12276787  0.57315958],[0. 0. 0.],[0.69433653 0.71342051 0.00679455 0.09424326],1.2159347534179688e-05,[-3.10404638 -0.80237484 -1.53002846 -2.26894292  1.4457781 ],[ 4.59226219 -1.64755     3.39998825  5.69367707 -9.99999186],7.90500000391603e-06,-0.08142429219683603,0.47497837736101406,0.05,1,[ 0.  0. -0.  0.  0.  0.],[ 0.20624657 -1.2823156   1.2598975   0.22723113 -0.07167693 -0.08997743],"[-3.1416347e+00 -7.8541166e-01 -1.5707849e+00 -2.3562376e+00
  1.5707901e+00 -3.5587942e-05]",23.055503129959106
1,0,0,False,False,False,False,17,0.0,0.0,0.0,0.0,0.0,0.07083333321999999,1.754575348000003,61.52910345400001,0.3698260789999779,2.4140999997257495e-05,[ 0.18216941 -0.12101492  0.63890034],[1.8602264  1.00199282 1.55988693],[ 0.50811726  0.78243375 -0.08672837  0.34941733],1.5020370483398438e-05,[-2.63955629 -0.89669427 -1.43696262 -2.18736207  0.86389577],[ 9.9999997  -2.34272533  3.33777179 -2.17717662 -9.77807736],8.34899999802019e-06,-0.07507037827015384,0.48167362674737085,0.05,2,[ 0.05486538 -0.02897945  0.06657477  0.12875852 -0.18496454  0.        ],[ 0.52010006 -1.5580584   1.4661441   0.4849631  -0.18910511 -0.09760264],"[-3.1134334e+00 -7.9813701e-01 -1.5403022e+00 -2.2908242e+00
  1.4768674e+00  1.1984225e-05]",23.567387342453003
2,0,0,False,False,False,False,25,0.0,0.0,0.0,0.0,0.0,0.10416666649999998,2.717967772999998,62.492495879,0.5694036679999357,2.265499999509757e-05,[ 0.2288177  -0.08466004  0.67525423],[0. 0. 0.],[ 0.38603324  0.79097974 -0.12813134  0.4570685 ],1.811981201171875e-05,[-2.39727299 -0.95915753 -1.36874206 -2.26336492  0.59083157],[ 5.83069026 -0.95789506  0.43951839 -3.46521297 -3.53770459],9.980000001519329e-06,-0.0614175433291298,0.4798114148461504,0.05,3,[ 0.17362106 -0.04668415  0.08412606  0.0886593  -0.23874974  0.        ],[ 0.7196212  -1.6275544   1.7530959   0.520039   -0.21198073 -0.06862685],"[-3.0301239e+00 -8.2124788e-01 -1.4982198e+00 -2.2411201e+00
  1.3553504e+00 -1.1746083e-05]",24.07933497428894
3,0,0,False,False,False,False,28,0.0,0.0,0.0,0.0,0.0,0.11666666647999997,3.5313743130000006,63.305902419000006,1.1564730109999317,0.0007356069999957526,[ 0.24431312 -0.063504    0.6570797 ],[0. 0. 0.],[ 0.3393569   0.80424261 -0.16085856  0.4606033 ],1.1205673217773438e-05,[-2.33837058 -0.9692149  -1.41410697 -2.30477208  0.5539927 ],[ 4.07952204 -0.91647668 -5.12401837 -3.29325855 -2.64729429],8.554000004323825e-06,-0.06043859094043605,0.45942864638333136,0.05,4,[ 0.17501442 -0.04952201  0.05094095  0.02085255 -0.18879949  0.        ],[ 1.1209053  -1.4885622   1.6903251   0.40108582 -0.01525041 -0.05642653],"[-2.9093535e+00 -8.5379916e-01 -1.4589332e+00 -2.2246625e+00
  1.2261784e+00  2.3968450e-05]",24.63136053085327
4,0,0,False,False,False,False,32,0.0,0.0,0.0,0.0,0.0,0.13333333311999998,4.926186813000001,64.700714919,2.237585065999923,2.4109999998245257e-05,[ 0.25558904 -0.04604268  0.62521243],[0. 0. 0.],[ 0.28703415  0.81511122 -0.20956828  0.45747817],1.4781951904296875e-05,[-2.29304716 -0.96542338 -1.49549895 -2.36015541  0.51953083],[ 2.41012992  0.8247579  -6.64304948 -3.19238126 -1.73831316],8.30300000131956e-06,-0.06742965759818839,0.42135219029198984,0.05,5,[ 0.16905747 -0.04355227  0.04281085  0.04331099 -0.30003706  0.        ],[ 0.5761453  -1.3809553   1.4683859   0.44531202 -0.26840726 -0.05795157],"[-2.8132753e+00 -8.7751180e-01 -1.4340423e+00 -2.2030032e+00
  1.0654160e+00  5.9921127e-05]",25.175294160842896
5,0,0,False,False,False,False,35,0.0,0.0,0.0,0.0,0.0,0.14583333310000002,6.228177262999992,66.002705369,3.3229556689999384,2.746200000558474e-05,[ 0.26258039 -0.03356453  0.59431142],[0. 0. 0.],[ 0.24900681  0.82211578 -0.24691197  0.44850391],2.193450927734375e-05,[-2.26662769 -0.96018678 -1.57285815 -2.39257375  0.5065619 ],[ 2.04439256  0.42526653 -2.23096587 -2.12326989 -0.61551157],8.40599999207825e-06,-0.07929514497667622,0.3819228842989285,0.05,6,"[ 2.8016880e-01 -3.2852758e-02 -1.7052753e-02  2.2122880e-02
 -3.1058317e-01  2.3968450e-05]",[ 0.6770268  -1.5490911   0.7375557   0.3858354  -0.27145734 -0.10675288],"[-2.6527455e+00 -8.9527541e-01 -1.4365014e+00 -2.1884511e+00
  8.7851822e-01  2.3968450e-05]",25.783435106277466
6,0,0,False,False,False,False,40,0.0,0.0,0.0,0.0,0.0,0.16666666640000008,8.037702729000003,67.81223083500001,4.7312561439999286,2.407400000947746e-05,[ 0.24553443 -0.02191317  0.57148439],[0. 0. 0.],[ 0.24411444  0.87047696 -0.23951657  0.35399127],1.0728836059570312e-05,[-2.22983808 -0.96724586 -1.55991743 -2.46159385  0.71489501],[ 0.78561752  0.05814742  2.51350553 -3.05182517  9.99997073],9.042000002068562e-06,-0.09029093079587872,0.3547386209377079,0.05,7,"[ 2.0381492e-01 -6.1666030e-02  7.6213278e-02 -4.5659900e-02
 -1.9958529e-01  2.3968450e-05]",[ 0.5268255  -1.3921643   1.515464   -0.05947661 -0.25773197 -0.09455255],"[-2.5462689e+00 -9.2547923e-01 -1.4028181e+00 -2.2081816e+00
  7.7339524e-01  5.9921127e-05]",26.29538607597351
7,0,0,False,False,False,False,45,0.0,0.0,0.0,0.0,0.0,0.18749999970000014,9.466448713999995,69.24097682,5.737975757999948,2.560500000470256e-05,[ 0.21510768 -0.02670677  0.57174224],[0. 0. 0.],[ 0.26431459  0.90419888 -0.20587492  0.26491091],1.0013580322265625e-05,[-2.21767713 -0.95304812 -1.50553979 -2.51803732  0.92322781],[ 0.46164536  1.38107342  2.95540434 -2.59422362 10.        ],8.495000002994857e-06,-0.09061517320255849,0.36009442004789766,0.05,8,"[ 2.2706752e-01 -4.8499361e-02  4.9624279e-02 -8.8467553e-02
 -2.8469726e-01  2.3968450e-05]",[ 0.898966   -1.2576557   1.6006527  -0.00915025 -0.18300495 -0.08997743],"[-2.4246130e+00 -9.5316344e-01 -1.3746890e+00 -2.2528303e+00
  6.2485188e-01  4.7936901e-05]",26.831363677978516
8,0,0,False,False,False,False,54,0.0,0.0,0.0,0.0,0.0,0.22499999964000025,11.389731802,71.164259908,6.840732363999976,2.506600000629078e-05,[ 0.18577354 -0.02522005  0.55933481],[0. 0. 0.],[ 0.27681935  0.92792124 -0.18647128  0.16601701],6.198883056640625e-06,[-2.20706764 -0.93625522 -1.49836464 -2.56465522  1.13299956],[ 0.72226151  0.61043665 -1.17112918 -2.19901562 10.        ],8.233000002633162e-06,-0.10516567592177538,0.3644750862796346,0.05,9,"[ 1.3660099e-01 -2.3700004e-02 -8.2617648e-02 -9.1104083e-02
 -9.8150805e-02  2.3968450e-05]",[ 0.58062893 -1.1343561   0.7061703   0.0777771  -0.23485634 -0.07167693],"[-2.3665345e+00 -9.6416408e-01 -1.3974203e+00 -2.2865098e+00
  5.7469600e-01  4.7936901e-05]",27.25525736808777
9,0,0,False,False,False,False,61,0.0,0.0,0.0,0.0,0.0,0.25416666626000034,12.296894374999994,72.071422481,7.164375267999986,2.314300000705316e-05,[ 0.15549389 -0.02047436  0.55961514],[0. 0. 0.],[ 0.29252091  0.94158804 -0.1533621   0.06575377],6.198883056640625e-06,[-2.20022982 -0.92754731 -1.4680316  -2.59981838  1.34993904],[-1.12050195  0.08126462  1.36511539  0.73105045  1.23666949],7.81300001051477e-06,-0.10408475803611193,0.3678060770127121,0.05,10,"[ 1.1212122e-01 -1.1888351e-03 -1.5603141e-01 -1.1893145e-01
 -8.3050683e-02  2.3968450e-05]",[ 0.47526383 -0.6501251   0.6770268  -0.04117611 -0.3629598  -0.08387727],"[-2.3100607e+00 -9.6544772e-01 -1.4716247e+00 -2.3425629e+00
  5.3242356e-01  1.1984225e-05]",27.759328365325928
