,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,planner_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1,real_step,real_joint_velocities,real_effort,real_joint_positions,current_time
0,0,0,False,False,False,False,1,0.0,0.0,0.0,0.0,0.0,0.00416666666,0.07843831299999948,41.779687259999996,0.864041813,0.0005166199999990795,0.30280375480651855,[ 0.07427508 -0.10568646  0.5450902 ],[0. 0. 0.],[ 0.69885361  0.71523422  0.00614943 -0.00243523],1.0013580322265625e-05,[-3.11691625 -0.8101611  -1.57906175 -2.34777404  1.58446829],"[-6.44694991e-06 -3.79636793e-05  0.00000000e+00 -1.96136424e-04
 -1.09938738e-07]",7.652000000746284e-06,-0.3530272556947019,3.368005725491602,0.05,1,[ 0.  0. -0.  0.  0.  0.],[ 0.21969743 -1.4100988   1.2352376   0.26383212 -0.06557677 -0.06862685],"[-3.1416588e+00 -7.8536397e-01 -1.5707849e+00 -2.3561299e+00
  1.5707541e+00 -2.3667013e-05]",14.831615209579468
1,0,0,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,0.21450339400000473,41.915752341,0.8645189749999957,3.776899999508032e-05,0.30280375480651855,[ 0.10544856 -0.09644527  0.53618538],[0. 0. 0.],[ 0.68104833  0.73164052 -0.00276428 -0.02945829],2.8848648071289062e-05,[-3.06756322 -0.85980271 -1.59571173 -2.33106071  1.61177683],"[-8.05721969e-06 -3.67289234e-05  2.77555756e-17 -1.91678236e-04
 -2.74651587e-06]",5.9719999967455806e-06,-0.3520925006363044,3.360283136124609,0.05,2,[ 0.04098285 -0.04241457 -0.0148924   0.0218832   0.02674879  0.        ],[ 0.721863   -2.1924908   0.50216556  0.5093638   0.04270115 -0.07167693],"[-3.1405685e+00 -7.8627568e-01 -1.5710248e+00 -2.3558061e+00
  1.5714364e+00 -4.7985708e-05]",14.903557538986206
2,0,0,False,False,False,False,7,0.0,0.0,0.0,0.0,0.0,0.029166666619999997,0.5017316489999999,42.202980595999996,0.8663038929999942,3.896300000150177e-05,0.30280375480651855,[ 0.16278873 -0.07004014  0.51400459],[0. 0. 0.],[ 0.64430153  0.75997555 -0.0245323  -0.08191987],2.288818359375e-05,[-2.96885716 -0.95908593 -1.62901168 -2.29763405  1.66639393],"[-1.19429651e-05 -3.47240929e-05  2.77555756e-17 -1.85890541e-04
 -6.23975310e-06]",5.617999995877199e-06,-0.3502952052791717,3.345183048778904,0.05,3,[ 0.07599597 -0.07765778 -0.02827638  0.02531068  0.04266384  0.        ],[ 0.6703014  -1.3293936   0.67478496  0.5810407   0.27908254 -0.06710181],"[-3.1214242e+00 -8.0577594e-01 -1.5775031e+00 -2.3494422e+00
  1.5820073e+00 -4.7985708e-05]",15.183587789535522
3,0,0,False,False,False,False,8,0.0,0.0,0.0,0.0,0.0,0.033333333279999995,0.9413701550000013,42.642619102,1.2451480419999967,6.876700000191249e-05,0.30280375480651855,[ 0.17589663 -0.0619349   0.50759536],[0. 0. 0.],[ 0.63494247  0.7661227  -0.03077547 -0.09464106],2.6464462280273438e-05,[-2.94418065 -0.98390674 -1.63733666 -2.28927739  1.6800482 ],"[-1.30893413e-05 -3.43277114e-05 -2.77555756e-17 -1.85311124e-04
 -6.73273042e-06]",8.024000003103993e-06,-0.34987101179382746,3.341580777105129,0.05,4,[ 0.0850848  -0.08636312 -0.02819968  0.0237767   0.04666657  0.        ],[ 0.5761453  -1.443726    0.75997376  0.25620693  0.295858   -0.06405173],"[-3.0961585e+00 -8.3107072e-01 -1.5861524e+00 -2.3406818e+00
  1.5959902e+00 -3.5587942e-05]",15.495501279830933
4,0,0,False,False,False,False,9,0.0,0.0,0.0,0.0,0.0,0.037499999939999994,1.609537588000002,43.310786535,1.8516230039999968,6.181100000191009e-05,0.30280375480651855,[ 0.18845661 -0.05328446  0.50085759],[0. 0. 0.],[ 0.62553656  0.77189523 -0.03733097 -0.10718295],2.09808349609375e-05,[-2.91950413 -1.00872754 -1.64566165 -2.28092073  1.69370248],"[-1.43042812e-05 -3.39645939e-05  0.00000000e+00 -1.85079359e-04
 -7.07565159e-06]",7.480999997255822e-06,-0.3494604798223336,3.338083699219164,0.05,5,[ 0.08472688 -0.08558334 -0.02965696  0.02257828  0.04237622  0.        ],[ 0.5357927  -1.2150613   0.79584277  0.3812603   0.1037028  -0.0777771 ],"[-3.0735996e+00 -8.5385925e-01 -1.5937222e+00 -2.3331554e+00
  1.6084887e+00 -5.9906637e-05]",15.767581939697266
5,0,0,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,2.290380566000003,43.991629513,2.418171803,7.057500000229311e-05,0.30280375480651855,[ 0.20044304 -0.04411939  0.49380022],[0. 0. 0.],[ 0.61609471  0.77729368 -0.04419411 -0.11953495],1.0967254638671875e-05,[-2.89482762 -1.03354835 -1.65398664 -2.27256407  1.70735676],"[-1.55743234e-05 -3.36250713e-05  0.00000000e+00 -1.85153690e-04
 -7.27639809e-06]",7.502000002546083e-06,-0.3490654536545268,3.3347102580193733,0.05,6,[ 0.06790422 -0.06607623 -0.02078544  0.02121208  0.03528156  0.        ],[ 0.5268255  -1.2509303   0.75997376  0.5444397   0.16012932 -0.06100165],"[-3.0487885e+00 -8.7873536e-01 -1.6020235e+00 -2.3246582e+00
  1.6221480e+00 -9.5669420e-05]",16.06364631652832
6,0,0,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,2.290380566000003,43.991629513,2.418171803,7.057500000229311e-05,0.30280375480651855,[ 0.20044304 -0.04411939  0.49380022],[0. 0. 0.],[ 0.61609471  0.77729368 -0.04419411 -0.11953495],1.0967254638671875e-05,[-2.89482762 -1.03354835 -1.65398664 -2.27256407  1.70735676],"[-1.55743234e-05 -3.36250713e-05  0.00000000e+00 -1.85153690e-04
 -7.27639809e-06]",7.502000002546083e-06,-0.3490654536545268,3.3347102580193733,0.05,7,[ 0.0870662  -0.08792267 -0.03052622  0.02799515  0.05069327  0.        ],[ 0.8720643  -1.2823156   0.7936009   0.407186    0.23485634 -0.07167693],"[-3.0223608e+00 -9.0539914e-01 -1.6108774e+00 -2.3158014e+00
  1.6367886e+00 -5.9906637e-05]",16.3755464553833
7,0,0,False,False,False,False,12,0.0,0.0,0.0,0.0,0.0,0.04999999991999999,3.7592638839999992,45.460512830999996,3.735962444000002,5.664600000443443e-05,0.2541773319244385,[ 0.22260158 -0.02437373  0.4787634 ],[0. 0. 0.],[ 0.59714639  0.78697336 -0.05882338 -0.14362769],1.8596649169921875e-05,[-2.84547465 -1.08319009 -1.67063661 -2.25585145  1.73466528],"[-1.81766167e-05 -3.29642069e-05  0.00000000e+00 -1.85926099e-04
 -7.31830366e-06]",8.891000000232907e-06,-0.3483293823551303,3.328408885013842,0.05,8,[ 0.0614615  -0.06616571 -0.02169305  0.01910285  0.03163835  0.        ],[ 0.5133746  -0.757732    0.87430614  0.5444397   0.06862685 -0.09302751],"[-2.9992273e+00 -9.2865735e-01 -1.6187948e+00 -2.3079870e+00
  1.6495379e+00 -4.7985708e-05]",16.655690670013428
8,0,0,False,False,False,False,13,0.0,0.0,0.0,0.0,0.0,0.05416666657999999,4.3932216560000015,46.094470603,4.307052847999998,8.054599999951506e-05,0.2541773319244385,[ 0.23273143 -0.01385994  0.47080302],[0. 0. 0.],[ 0.58766145  0.79125756 -0.06657815 -0.15534762],1.8835067749023438e-05,[-2.82079814 -1.10801089 -1.6789616  -2.24749476  1.74831956],"[-1.94345092e-05 -3.26113163e-05  0.00000000e+00 -1.86421773e-04
 -7.21276693e-06]",7.8420000022561e-06,-0.34799205815588863,3.3255182015843694,0.05,9,[ 0.08295001 -0.08442008 -0.0279568   0.0300085   0.04959073  0.        ],[ 0.52010006 -1.1433234   0.9751876   0.38278535  0.07625206 -0.08235222],"[-2.9695170e+00 -9.5841819e-01 -1.6287521e+00 -2.2978837e+00
  1.6660219e+00 -2.3667013e-05]",17.007495880126953
9,0,0,False,False,False,False,14,0.0,0.0,0.0,0.0,0.0,0.058333333239999986,5.161486252000003,46.862735199,5.012199942000002,6.655499999652648e-05,0.2541773319244385,[ 0.24220333 -0.00296497  0.46256092],[0. 0. 0.],[ 0.57818353  0.79517382 -0.07461864 -0.1668366 ],1.9788742065429688e-05,[-2.79612162 -1.13283169 -1.68728659 -2.23913806  1.76197384],"[-2.06037371e-05 -3.22206597e-05  0.00000000e+00 -1.86830070e-04
 -7.06983676e-06]",7.3790000030271585e-06,-0.34767768868093796,3.3228256440370094,0.05,10,[ 0.06925923 -0.06945098 -0.02321424  0.02516687  0.0371511   0.        ],[ 0.77790827 -1.017782    0.8092936   0.46513757  0.19063015 -0.07930214],"[-2.9481087e+00 -9.7991449e-01 -1.6359504e+00 -2.2906687e+00
  1.6778256e+00 -5.9906637e-05]",17.287555694580078
