,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1,real_step,real_joint_velocities,real_effort,real_joint_positions,current_time,planner_time_ur5_1
10,0,2,False,False,False,False,8,0.5,0.0,0.0,0.0,499.89726542025073,0.09583333317999998,0.7721674639999492,813.164775746,0.3968476059997883,4.792900006123091e-05,[ 0.12009794 -0.03712736  0.3251501 ],[0. 0. 0.],[ 0.59290695  0.73513818 -0.15872136 -0.28782064],1.0967254638671875e-05,[-2.83373356 -0.85404782 -2.13705054 -2.36345652  1.86374291],[-0.48097849 -0.54321085 -1.82165991 -2.39825666  6.78307471],7.192000111899688e-06,-0.3652707593191935,3.4776348802552652,0.05,4,[ 0.01510971 -0.01372913 -0.01342233  0.02801912  0.03446663  0.        ],[ 0.342997   -1.2800739   0.8541298   0.46361253  0.09150247 -0.05795157],[-2.919764  -0.8203724 -2.085131  -2.5248868  1.7352724  0.       ],654.6114363670349,0.16893553733825684
11,0,2,False,False,False,False,9,0.5,0.0,0.0,0.0,499.89726542025073,0.09999999983999998,2.200072623999972,814.5926809059999,1.7495978569997632,0.004054580000001806,[ 0.12475102 -0.03162201  0.32229424],[0. 0. 0.],[ 0.58953172  0.7388792  -0.14977926 -0.28995878],1.4066696166992188e-05,[-2.81958258 -0.8593507  -2.14487103 -2.33640737  1.88231425],[-0.48097841 -0.55104658 -1.81948429 -2.39825666  6.78307969],6.943000016690348e-06,-0.36495333903178,3.4754765863364376,0.05,5,[ 0.01757686 -0.00623819 -0.01375469  0.03420298  0.03185407  0.        ],[ 0.41921857 -1.371988    0.9303514   0.42243642  0.13115354 -0.05337644],[-2.9069934  -0.82578164 -2.094165   -2.5018814   1.7593329   0.        ],655.2993438243866,0.16893553733825684
12,0,2,False,False,False,False,10,0.5,0.0,0.0,0.0,499.89726542025073,0.10416666649999998,3.740904955000019,816.133513237,3.203125864999798,5.15899999982139e-05,[ 0.12922639 -0.02602336  0.31949508],[0. 0. 0.],[ 0.58595115  0.74257553 -0.14084926 -0.29224026],1.0728836059570312e-05,[-2.80543074 -0.86465492 -2.15269187 -2.30935625  1.90088509],[-0.48097833 -0.55890703 -1.81744431 -2.39825666  6.78308625],7.4360000326123554e-06,-0.3646346859222291,3.473277548241954,0.05,6,[ 0.01849725 -0.00559903 -0.01167104  0.03475425  0.03180613  0.        ],[ 0.30712804 -1.1724669   1.1052126   0.36448485  0.17232965 -0.05795157],"[-2.8941271e+00 -8.3101064e-01 -2.1023710e+00 -2.4780009e+00
  1.7800177e+00  3.5952675e-05]",655.9554493427277,0.16893553733825684
13,0,2,False,False,False,False,11,0.5,0.0,0.0,0.0,499.89726542025073,0.10833333315999998,5.173243643999967,817.565851926,4.563207254999803,5.3817999969396624e-05,[ 0.13352071 -0.02033757  0.31675383],[0. 0. 0.],[ 0.58216554  0.74622303 -0.13193597 -0.29466477],1.1682510375976562e-05,[-2.79127804 -0.86996047 -2.16051308 -2.28230318  1.91945542],[-0.48097823 -0.56679337 -1.81553977 -2.39825666  6.78309476],7.421999953294289e-06,-0.3643150992759311,3.4710407588257177,0.05,7,[ 0.02095162 -0.00952346 -0.0136013   0.04693023  0.03262106  0.        ],[ 0.473022   -1.0738273   0.8317117   0.27603245  0.03812603 -0.05795157],[-2.880494  -0.8363717 -2.1105173 -2.4523818  1.7999239  0.       ],656.6193242073059,0.16893553733825684
14,0,2,False,False,False,False,12,0.5,0.0,0.0,0.0,499.89726542025073,0.11249999981999997,6.648031213999957,819.040639496,5.972410399999795,5.287500005124457e-05,[ 0.13763084 -0.01457094  0.31407163],[0. 0. 0.],[ 0.57817554  0.74981767 -0.12304406 -0.29723167],2.0265579223632812e-05,[-2.77712451 -0.87526737 -2.1683347  -2.25524816  1.93802508],[-0.48097882 -0.5747069  -1.81377024 -2.3982527   6.78306241],7.685000014134857e-06,-0.36399488405572195,3.4687692677160884,0.05,8,[ 0.01897023 -0.00579078 -0.01112136  0.0362403   0.02866627  0.        ],[ 0.5335509  -0.9079333   1.0200238   0.3629598   0.28823277 -0.06710181],"[-2.8667650e+00 -8.4158927e-01 -2.1184361e+00 -2.4262106e+00
  1.8190275e+00 -1.1746083e-05]",657.2833180427551,0.16893553733825684
15,0,2,False,False,False,False,13,0.5,0.0,0.0,0.0,499.89726542025073,0.11666666647999997,8.070581649000019,820.463189931,7.332424529999763,5.2470000014182006e-05,[ 0.14155377 -0.00872983  0.3114495 ],[0. 0. 0.],[ 0.57398146  0.75335538 -0.11417796 -0.2999405 ],1.6927719116210938e-05,[-2.76297012 -0.88057562 -2.17615673 -2.22819118  1.95659433],[-0.48097882 -0.58264848 -1.81213583 -2.39825117  6.78306243],7.428999992953322e-06,-0.3636743520271661,3.4664661925687095,0.05,9,[ 0.02247282 -0.01348625 -0.01213123  0.04002731  0.02600577  0.        ],[ 0.49992377 -1.277832    1.0805527   0.43768683  0.05490148 -0.05642653],"[-2.8522458e+00 -8.4705859e-01 -2.1266181e+00 -2.3987329e+00
  1.8387898e+00  2.3968450e-05]",657.9714117050171,0.16893553733825684
16,0,2,False,False,False,False,14,0.5,0.0,0.0,0.0,499.89726542025073,0.12083333313999997,9.608111538000003,822.0007198200001,8.813019843999847,6.210699996245239e-05,[ 0.14528677 -0.00282076  0.30888844],[0. 0. 0.],[ 0.56958413  0.75683206 -0.10534226 -0.30279058],1.9788742065429688e-05,[-2.74881489 -0.88588522 -2.18397923 -2.20113227  1.97516309],[-0.48097882 -0.59061933 -1.81063615 -2.39824916  6.78306245],7.4519999770927825e-06,-0.36335382010127526,3.464134702493699,0.05,10,[ 0.01999288 -0.00419288 -0.01224628  0.0363122   0.0246156   0.        ],[ 0.4461203  -1.2688648   1.06486     0.42853656  0.2775575  -0.05947661],"[-2.8382535e+00 -8.5231191e-01 -2.1344521e+00 -2.3720210e+00
  1.8573309e+00  3.5952675e-05]",658.651200056076,0.16893553733825684
17,0,2,False,False,False,False,15,0.5,0.0,0.0,0.0,499.89726542025073,0.12499999979999997,11.065240747999951,823.45784903,10.21045067299982,5.9319999991203076e-05,[0.14882725 0.00314964 0.30638936],[0. 0. 0.],[ 0.56498408  0.76024383 -0.09654151 -0.3057811 ],8.344650268554688e-06,[-2.73465882 -0.89119618 -2.1918022  -2.17407145  1.99373136],[-0.48097882 -0.59862055 -1.80927097 -2.39824653  6.78306245],7.850000088183151e-06,-0.36303361193237155,3.461778034034279,0.05,11,[ 0.02090049 -0.00323414 -0.01165825  0.0407943   0.03293265  0.        ],[ 0.508891   -1.3069756   0.8899988   0.2546819   0.01525041 -0.06710181],"[-2.8241050e+00 -8.5757762e-01 -2.1422503e+00 -2.3449719e+00
  1.8761597e+00 -1.1746083e-05]",659.323237657547,0.16893553733825684
18,0,2,False,False,False,False,16,0.5,0.0,0.0,0.0,499.89726542025073,0.12916666645999997,12.555401059000019,824.948009341,11.62983033899976,6.082100003368396e-05,[0.15217289 0.00917466 0.30395305],[0. 0. 0.],[ 0.56018215  0.76358652 -0.08778026 -0.30891114],1.71661376953125e-05,[-2.72050192 -0.8965085  -2.19962568 -2.14700873  2.01229913],[-0.48097882 -0.60665318 -1.80804007 -2.39824315  6.78306243],7.634999974470702e-06,-0.3627140554108575,3.4593994660944736,0.05,12,[ 0.02100275 -0.01507136 -0.01193948  0.04503672  0.03230947  0.        ],[ 0.5828707  -0.90344965  0.97967124  0.49716341  0.04575124 -0.05795157],"[-2.8104002e+00 -8.6277086e-01 -2.1499169e+00 -2.3188217e+00
  1.8943176e+00  1.1984225e-05]",659.9792349338531,0.16893553733825684
19,0,2,False,False,False,False,16,0.5,0.0,0.0,0.0,499.89726542025073,0.12916666645999997,12.555401059000019,824.948009341,11.62983033899976,6.082100003368396e-05,[0.15217289 0.00917466 0.30395305],[0. 0. 0.],[ 0.56018215  0.76358652 -0.08778026 -0.30891114],1.71661376953125e-05,[-2.72050192 -0.8965085  -2.19962568 -2.14700873  2.01229913],[-0.48097882 -0.60665318 -1.80804007 -2.39824315  6.78306243],7.634999974470702e-06,-0.3627140554108575,3.4593994660944736,0.05,13,[ 0.01792201 -0.00366877 -0.01214402  0.04093811  0.02765959  0.        ],[ 0.6008052  -1.08952     1.0738273   0.39956078  0.24553163 -0.0701519 ],"[-2.7961922e+00 -8.6808425e-01 -2.1578591e+00 -2.2915199e+00
  1.9131932e+00  1.1984225e-05]",660.6432776451111,0.16893553733825684
