,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,planner_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1,real_step,real_joint_velocities,real_effort,real_joint_positions,current_time
0,0,0,False,False,False,False,1,0.0,0.0,0.0,0.0,0.0,0.00416666666,0.11949996399999918,36.185590408,0.6892382840000053,0.0004778939999994236,0.29973721504211426,[ 0.07430124 -0.10569973  0.54505372],[0. 0. 0.],[ 0.69889283  0.71519673  0.00602811 -0.00247895],1.1682510375976562e-05,[-3.11691524 -0.81023144 -1.57911803 -2.34788125  1.58436104],"[-6.44616326e-06 -3.79468220e-05  0.00000000e+00 -1.96033458e-04
 -9.31973202e-08]",8.175000004939648e-06,-0.35303048414501187,3.368033460907835,0.05,1,[ 0.  0. -0.  0.  0.  0.],[ 0.13002501 -1.4033734   1.360779    0.22265601 -0.0442262  -0.08387727],"[-3.1416829e+00 -7.8534013e-01 -1.5707368e+00 -2.3562376e+00
  1.5707181e+00  2.3968450e-05]",13.263449668884277
1,0,0,False,False,False,False,2,0.0,0.0,0.0,0.0,0.0,0.00833333332,0.9156848840000009,36.981775328000005,1.3823876089999985,0.007389491999994391,0.2925553321838379,[ 0.09006681 -0.10142739  0.54078996],[0. 0. 0.],[ 0.69004613  0.72358549  0.00173827 -0.01604431],1.4543533325195312e-05,[-3.09223774 -0.83505122 -1.58743969 -2.33952482  1.59801595],"[-7.22977880e-06 -3.73153863e-05  0.00000000e+00 -1.93725735e-04
 -1.48350757e-06]",7.304000000374344e-06,-0.35256146671714694,3.3641716349675415,0.05,2,[ 0.04562315 -0.04708043 -0.01798593  0.00254066  0.0259099   0.        ],[ 0.5156164  -1.6230708   0.473022    0.65881777 -0.00915025 -0.09302751],"[-3.1289480e+00 -7.9812461e-01 -1.5750197e+00 -2.3521030e+00
  1.5776255e+00  1.1984225e-05]",13.615458965301514
2,0,0,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,1.834523310999998,37.900613755,2.2321902520000023,4.612199999343147e-05,0.2961134910583496,[ 0.10547129 -0.09645712  0.53614944],[0. 0. 0.],[ 0.68108624  0.73160315 -0.00288467 -0.02949611],1.1682510375976562e-05,[-3.06756024 -0.85987099 -1.59576136 -2.33116834  1.61167085],"[-8.05622660e-06 -3.67139249e-05  0.00000000e+00 -1.91583576e-04
 -2.72918251e-06]",7.295999999712421e-06,-0.3520957025013159,3.3603109226979218,0.05,3,[ 0.0598636  -0.05785664 -0.02017185  0.02576608  0.0322136   0.        ],[ 0.6792686  -1.5827183   0.6164979   0.6328921   0.13267858 -0.07930214],"[-3.1103425e+00 -8.1700212e-01 -1.5813059e+00 -2.3456552e+00
  1.5880289e+00  1.1984225e-05]",13.95951795578003
3,0,0,False,False,False,False,4,0.0,0.0,0.0,0.0,0.0,0.01666666664,2.5519321839999947,38.618022628,2.8759052309999973,4.398200000110819e-05,0.2638814449310303,[ 0.12048002 -0.0908103   0.53113955],[0. 0. 0.],[ 0.67202461  0.7392481  -0.00783812 -0.04282322],2.3365020751953125e-05,[-3.04288274 -0.88469075 -1.60408302 -2.32281183  1.62532574],"[-8.93288927e-06 -3.61495106e-05 -2.77555756e-17 -1.89672310e-04
 -3.82790356e-06]",7.461999999236468e-06,-0.3516348027774617,3.3564674368740106,0.05,4,[ 0.06635746 -0.06408205 -0.02050421  0.02293781  0.03885286  0.        ],[ 0.6164979  -1.515464    0.50216556  0.5596901   0.20588055 -0.07167693],"[-3.0907190e+00 -8.3667165e-01 -1.5879997e+00 -2.3391116e+00
  1.5988635e+00  1.1984225e-05]",14.263457536697388
4,0,0,False,False,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0208333333,3.220647065999998,39.28673751,3.4824257249999917,4.72659999957159e-05,0.25571417808532715,[ 0.13505962 -0.08451003  0.5257678 ],[0. 0. 0.],[ 0.66287178  0.74651945 -0.01311909 -0.05601451],2.2172927856445312e-05,[-3.01820525 -0.90951051 -1.61240468 -2.31445528  1.63898064],"[-9.86789931e-06 -3.56268715e-05  0.00000000e+00 -1.88047607e-04
 -4.77757938e-06]",7.399000004681966e-06,-0.3511804401407301,3.3526579034126494,0.05,5,[ 0.07811797 -0.0771848  -0.02561748  0.02785134  0.04048271  0.        ],[ 0.43266943 -1.562542    0.75997376  0.53528947  0.20588055 -0.08387727],"[-3.0703290e+00 -8.5706168e-01 -1.5948256e+00 -2.3321602e+00
  1.6101766e+00  1.1984225e-05]",14.559457540512085
5,0,0,False,False,False,False,6,0.0,0.0,0.0,0.0,0.0,0.024999999959999998,4.0025234109999985,40.068613855,4.207890075999991,4.8884999998222156e-05,0.2884223461151123,[ 0.14917815 -0.07758109  0.52004224],[0. 0. 0.],[ 0.65363908  0.75341648 -0.0187243  -0.06905899],8.106231689453125e-06,[-2.99352775 -0.93433025 -1.62072634 -2.3060987   1.65263553],"[-1.08690313e-05 -3.51481866e-05  2.77555756e-17 -1.86752510e-04
 -5.57617440e-06]",6.8889999980115135e-06,-0.3507343474945822,3.3488996513069424,0.05,6,[ 0.08061069 -0.08651652 -0.02867266  0.02622149  0.04024303  0.        ],[ 0.56941986 -1.017782    1.1388397   0.37973526  0.13115354 -0.07930214],"[-3.0416846e+00 -8.8594371e-01 -1.6044587e+00 -2.3224175e+00
  1.6258830e+00  3.5952675e-05]",14.93555235862732
6,0,0,False,False,False,False,7,0.0,0.0,0.0,0.0,0.0,0.029166666619999997,4.785892844999999,40.851983289,4.8785382969999915,4.6192999995753325e-05,0.26152491569519043,[ 0.16280508 -0.07004987  0.51397109],[0. 0. 0.],[ 0.64433753  0.75993842 -0.02465008 -0.08194577],7.62939453125e-06,[-2.96885027 -0.95914999 -1.629048   -2.29774208  1.66629042],"[-1.19420388e-05 -3.47128742e-05  0.00000000e+00 -1.85813942e-04
 -6.22207455e-06]",7.445999997912622e-06,-0.3502982801946944,3.3452102340695085,0.05,7,[ 0.07499888 -0.08086636 -0.02578366  0.03238138  0.03935619  0.        ],[ 0.5357927  -1.3383609   0.55821085  0.45751235  0.08540231 -0.08692735],"[-3.0177362e+00 -9.1001731e-01 -1.6126169e+00 -2.3143637e+00
  1.6392903e+00  2.3968450e-05]",15.263539791107178
7,0,0,False,False,False,False,8,0.0,0.0,0.0,0.0,0.0,0.033333333279999995,5.566843911999996,41.632934356,5.589328849999987,4.16029999996681e-05,0.26310205459594727,[ 0.1759115  -0.06194422  0.5075627 ],[0. 0. 0.],[ 0.63497806  0.76608574 -0.03089245 -0.09466394],8.344650268554688e-06,[-2.94417278 -0.98396972 -1.63736966 -2.28938542  1.67994531],"[-1.30885198e-05 -3.43174039e-05  0.00000000e+00 -1.85239004e-04
 -6.71509961e-06]",7.0860000036532256e-06,-0.3498740361221647,3.341607630469973,0.05,8,[ 0.07402736 -0.07032024 -0.02381505  0.03065565  0.03966779  0.        ],[ 0.6321906  -1.0469255   0.7263466   0.5779906   0.18605502 -0.08235222],"[-2.9976342e+00 -9.3027669e-01 -1.6193589e+00 -2.3074963e+00
  1.6503402e+00  3.5952675e-05]",15.527526378631592
8,0,0,False,False,False,False,9,0.0,0.0,0.0,0.0,0.0,0.037499999939999994,6.159929944999995,42.226020389,6.124694359999985,4.001300000311403e-05,0.22306084632873535,[ 0.18847007 -0.0532934   0.50082588],[0. 0. 0.],[ 0.62557161  0.77185845 -0.03744705 -0.10720284],2.3126602172851562e-05,[-2.9194953  -1.00878944 -1.64569132 -2.28102872  1.6936002 ],"[-1.43035792e-05 -3.39551727e-05  0.00000000e+00 -1.85011603e-04
 -7.05812039e-06]",7.147999994572274e-06,-0.3494634483592949,3.3381101712995562,0.05,9,[ 0.07783674 -0.07951134 -0.02731764  0.03106311  0.04546815  0.        ],[ 0.555969   -0.7756665   1.0962454   0.29433295  0.25010675 -0.08997743],[-2.9717214 -0.9563425 -1.6280321 -2.2987707  1.6647291  0.       ],15.863429546356201
9,0,0,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,6.747715109999994,42.813805554,6.65286613899999,4.30710000003387e-05,0.218672513961792,[ 0.20045517 -0.044128    0.4937695 ],[0. 0. 0.],[ 0.61612916  0.77725732 -0.04430925 -0.11955183],2.47955322265625e-05,[-2.89481781 -1.03360916 -1.65401299 -2.27267199  1.70725508],"[-1.55737390e-05 -3.36165073e-05  0.00000000e+00 -1.85090141e-04
 -7.25902526e-06]",7.229000004826958e-06,-0.34906835676366665,3.334736255119905,0.05,10,[ 0.08528934 -0.08948222 -0.03156165  0.02763562  0.04738563  0.        ],[ 0.60753065 -0.74876475  0.8922406   0.39498568  0.04575124 -0.1037028 ],"[-2.9495823e+00 -9.7861892e-01 -1.6355184e+00 -2.2912681e+00
  1.6769994e+00  2.3968450e-05]",16.143521547317505
